Index,Elevation,Aspect,Slope,Horiz_dist_hydro,Vertical_dist_hydro,Horiz_dist_roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horiz_dist_firepoints,Cover_Type,Wilderness_Area,Soil_Type
41,2888,35,4,382,41,2761,219,231,148,2359,2,1,23
42,3032,98,7,127,14,1826,231,231,132,1660,1,1,23
43,3440,247,8,849,199,3530,203,246,181,484,1,3,38
44,2534,31,13,60,7,2439,216,212,129,735,6,3,10
45,2857,90,6,0,0,3065,229,231,136,4106,2,1,23
46,2998,175,15,240,51,2375,227,247,148,2888,2,3,33
47,3260,76,22,30,-7,1538,241,194,73,1784,1,1,38
48,2963,109,9,228,27,5287,236,230,124,1981,1,1,29
49,2902,202,15,330,56,1698,211,252,172,888,2,3,13
50,3092,145,26,295,102,395,245,226,93,1756,2,3,22
51,2707,195,20,218,116,2810,212,252,166,1296,3,3,4
52,2128,57,35,277,101,631,220,146,31,685,3,4,6
53,2850,8,19,60,6,1233,194,198,138,2240,2,3,31
54,3070,43,11,42,-2,3844,222,216,127,3905,1,1,29
55,3157,318,6,201,29,2743,204,235,169,671,1,3,24
56,3323,228,20,531,176,1421,187,254,199,4175,1,2,33
57,3225,24,8,30,3,3086,216,224,144,1939,1,1,22
58,3022,238,18,108,2,1611,183,252,203,451,2,3,31
59,2775,162,3,242,22,830,222,240,153,1940,2,3,11
60,2865,13,17,124,28,3846,202,203,135,2828,2,1,29
61,3229,357,20,540,90,2174,185,200,149,212,1,3,33
62,3181,10,15,90,13,805,202,208,141,2454,1,1,23
63,3109,146,15,60,-6,6294,240,237,122,2275,1,1,29
64,3234,282,15,402,76,2875,176,240,202,837,2,3,32
65,3031,21,4,404,123,2837,217,231,151,1744,1,3,23
66,3006,79,1,309,48,3971,220,236,152,1337,2,1,29
67,3173,315,12,218,35,3540,187,230,183,1773,1,3,31
68,2785,39,13,90,34,1398,220,210,122,1136,5,3,33
69,2988,309,9,192,1,3903,195,234,179,726,1,1,29
70,2650,332,8,451,122,752,201,230,168,1026,3,3,2
71,3032,98,11,268,34,1140,238,224,115,2814,2,1,29
72,3123,62,6,0,0,1943,225,228,138,459,1,1,23
73,3018,0,4,644,174,5589,214,232,156,5181,1,1,12
74,3075,317,21,600,278,2584,161,217,194,1503,1,3,33
75,2973,155,4,30,0,1784,224,240,150,3713,1,1,23
76,2936,103,13,180,39,3886,241,224,110,5170,2,1,30
77,3029,58,21,255,18,4620,230,191,85,2676,1,1,29
78,2795,353,6,30,0,3300,210,230,158,5967,2,1,20
79,3330,259,6,67,8,3714,206,244,176,1848,7,3,38
80,2337,125,26,67,32,875,252,211,69,810,3,4,3
81,2978,330,9,134,13,4127,198,229,170,2148,2,1,30
82,2978,12,21,150,40,2440,193,192,130,1811,1,3,33
83,3150,45,7,60,0,2040,222,225,138,582,1,1,23
84,3021,118,19,30,3,6505,249,220,92,3288,2,1,30
85,3208,202,17,552,98,1020,210,253,173,2850,1,3,32
86,2781,5,9,309,47,1523,209,223,152,2466,2,1,12
87,2880,86,10,379,92,1440,235,223,119,1558,2,3,11
88,2994,340,17,382,24,228,181,213,169,918,1,3,19
89,3253,40,8,446,55,1050,221,223,137,1556,1,2,24
90,2678,109,11,330,94,1782,239,228,119,2577,6,3,2
91,3446,286,15,648,107,1705,175,238,202,661,7,3,39
92,2724,80,7,242,40,1441,229,228,133,3788,2,1,12
93,2713,168,6,120,4,1816,225,242,152,4161,2,1,23
94,2810,49,5,0,0,2259,222,229,142,2826,1,1,23
95,3250,82,29,242,7,2222,245,177,42,4417,1,2,33
96,3447,100,21,400,209,3801,249,207,76,3462,7,3,39
97,3351,60,14,95,11,2928,230,209,108,2097,7,1,38
98,2828,328,20,283,62,1765,167,212,183,1524,6,3,13
99,3047,50,16,499,131,4573,225,204,108,3755,1,1,29
100,3178,333,12,324,60,3277,192,225,171,2535,1,3,31
101,3182,273,13,430,78,5855,184,243,199,2800,2,1,30
102,2978,279,11,825,332,1500,188,241,193,2118,2,3,31
103,2910,129,12,134,11,931,240,233,121,2866,1,1,22
104,2847,49,10,0,0,5378,224,218,126,607,2,1,23
105,3250,183,16,218,74,3426,222,249,155,3018,1,1,22
106,2935,135,11,60,7,1856,237,236,128,2585,2,3,32
107,2445,4,14,242,62,726,201,212,148,726,3,4,2
108,3027,342,12,124,25,450,194,221,165,1776,1,3,22
109,2962,74,12,192,-5,541,235,216,111,2165,2,1,29
110,2580,14,6,124,20,1230,215,228,150,4942,2,1,12
111,2833,39,17,210,47,3573,218,199,111,2801,2,1,29
112,3120,186,24,85,23,2824,216,248,153,1231,2,3,23
113,3201,123,16,319,26,3544,245,227,106,4429,1,1,39
114,2536,133,8,180,-6,499,233,236,135,1110,2,1,9
115,3121,334,12,834,350,1230,192,224,171,1224,1,3,31
116,2950,346,16,638,80,2873,187,213,163,1739,2,1,12
117,2795,37,9,457,-5,1765,220,219,134,2635,2,1,12
118,2785,320,24,242,90,1054,151,210,195,360,2,3,33
119,3217,6,9,60,0,1905,210,223,151,1756,2,2,23
120,3010,96,29,351,-63,589,251,184,40,1618,2,1,29
121,2688,115,14,234,42,2281,244,225,107,2162,6,3,10
122,2800,145,14,180,47,3189,239,237,125,2925,2,1,12
123,3231,301,27,466,137,408,134,216,217,1008,1,2,22
124,3429,298,14,618,137,2657,181,235,193,1385,1,3,38
125,3122,245,27,693,31,4054,156,249,222,1087,2,3,33
126,2711,68,14,499,98,659,233,212,108,2708,2,1,29
127,2697,66,10,60,-2,1510,230,219,121,2273,2,3,11
128,3249,267,23,390,143,335,154,242,223,750,1,2,22
129,3212,260,8,700,151,6181,200,245,183,1570,2,1,29
130,2683,56,9,335,1,1608,226,222,130,5871,2,1,29
131,3135,63,1,210,0,3871,220,236,153,1361,1,1,29
132,2751,31,6,0,0,2382,219,228,145,3928,2,1,23
133,2867,139,13,108,20,3948,239,236,124,6130,2,1,30
134,2618,11,15,95,11,819,202,208,140,1654,2,3,33
135,2935,48,14,495,142,1179,224,208,115,2704,2,3,32
136,2044,125,37,339,141,339,251,186,26,871,3,4,3
137,3017,101,8,277,50,4837,235,229,126,1610,1,1,29
138,2920,15,8,42,4,1620,213,223,147,1745,2,1,29
139,3145,326,7,192,50,4476,203,232,168,1273,1,1,29
140,2850,359,15,390,116,2546,197,212,151,781,2,3,24
141,3107,232,3,95,3,1531,215,242,164,2188,1,3,23
142,3169,98,24,309,101,1800,251,198,60,2713,2,1,29
143,3167,122,23,319,81,3405,252,214,77,421,1,3,39
144,3188,50,4,360,27,1184,222,231,145,1922,1,2,23
145,3355,249,4,258,21,964,211,242,170,2044,7,3,32
146,2959,150,9,277,43,5159,233,240,138,4423,2,1,30
147,2658,30,24,30,10,1381,204,180,101,1200,2,3,33
148,3223,0,4,351,21,2440,214,232,156,1493,1,3,23
149,2714,27,11,175,25,1470,216,216,136,663,2,1,12
150,2831,239,20,60,-5,1855,179,252,207,1154,2,3,13
151,3041,19,12,384,66,5418,211,214,138,3799,1,1,29
152,3151,262,7,443,77,1019,204,244,179,2839,1,3,33
153,3102,39,12,30,4,3811,220,213,126,990,1,1,30
154,3073,45,3,228,42,1351,220,233,150,2711,2,1,29
155,3018,8,16,330,66,4173,200,206,141,2110,2,1,24
156,2812,30,18,124,26,3640,212,199,118,2910,2,1,29
157,3329,164,17,569,180,1595,233,243,134,1442,1,2,33
158,2879,333,5,30,2,3768,208,233,164,3726,2,1,23
159,3235,134,17,324,44,5622,244,230,109,2995,2,1,29
160,2951,288,13,150,22,5791,184,238,194,1449,2,1,29
161,3332,210,20,339,100,3365,201,254,182,513,1,3,31
162,3023,276,7,268,-11,1871,200,242,181,1710,2,3,31
163,2971,54,8,579,-4,5370,225,222,130,1677,2,1,29
164,2665,140,17,391,65,997,243,233,113,2549,2,1,12
165,2747,329,1,424,23,1107,215,237,159,1811,2,3,11
166,3067,215,18,430,278,2659,200,254,185,1589,1,3,13
167,3240,224,24,424,73,2856,181,254,201,824,2,3,32
168,3144,326,7,30,1,752,203,232,168,1201,1,2,23
169,3018,207,3,1057,99,5622,217,242,161,5766,2,1,29
170,3173,15,11,256,28,1549,210,216,142,890,1,2,32
171,3079,260,7,437,9,2640,203,244,179,2011,1,3,32
172,3215,347,18,362,75,3751,182,207,162,1989,1,3,31
173,3065,336,5,216,37,3961,209,233,162,2208,2,1,29
174,3088,43,8,633,89,2707,222,223,136,1982,2,3,32
175,2735,13,40,446,269,768,151,129,89,1282,2,3,13
176,3299,119,13,150,30,1203,242,228,113,1249,1,3,31
177,2738,39,12,120,-12,1298,220,213,126,1415,2,1,23
178,2730,52,23,150,44,1207,225,184,81,2131,2,1,29
179,2565,84,5,335,20,1243,227,231,139,1368,5,3,2
180,3304,59,6,108,15,4596,224,228,139,644,1,1,29
181,2962,287,19,256,72,2871,163,235,211,2183,2,1,29
182,3201,143,9,150,41,1595,233,238,136,1638,1,2,23
183,2853,316,18,180,46,1543,171,222,191,2674,2,3,33
184,3103,331,22,85,28,4203,162,206,181,876,1,1,22
185,3015,157,12,67,1,618,233,242,137,1771,2,1,29
186,3344,308,8,300,43,1661,197,235,178,1812,1,3,32
187,3297,349,4,330,32,5732,213,233,158,582,1,1,22
188,2877,72,4,0,0,3127,224,232,144,1233,2,3,13
189,2995,82,9,85,6,2785,233,225,124,828,1,1,29
190,2994,78,15,30,6,285,238,211,99,1341,2,3,32
191,3355,336,28,150,56,3446,146,189,175,2334,7,3,24
192,3152,63,6,42,0,4109,226,227,135,3386,1,3,22
193,2806,198,4,532,41,1994,218,243,161,1922,5,3,17
194,3258,32,14,153,55,5028,216,210,126,67,1,1,38
195,2799,57,22,42,16,1233,229,189,82,2215,2,3,20
196,3019,51,12,201,29,2974,226,214,120,1783,1,3,23
197,2959,17,11,532,62,4163,211,216,141,5566,2,1,12
198,2920,115,16,192,52,1470,245,223,102,2133,2,3,31
199,2962,231,33,904,192,4156,149,247,218,1356,2,3,33
200,3282,74,4,201,14,1200,225,231,142,2112,1,1,38
201,3014,52,13,450,69,1739,226,211,116,3212,2,3,33
202,2589,163,19,402,129,2279,234,242,130,342,3,3,4
203,2819,62,18,283,149,306,232,199,92,1703,5,1,29
204,2762,107,11,30,5,3000,238,227,119,4928,2,1,20
205,2448,353,20,67,20,633,182,201,154,1234,6,4,10
206,2848,167,14,277,19,750,231,244,141,469,5,1,30
207,3242,45,3,484,63,4410,220,233,150,2728,1,1,22
208,3167,97,11,474,34,5544,239,224,114,1643,1,1,29
209,3011,50,14,60,13,6287,226,208,113,3531,2,1,24
210,2646,109,26,190,46,1099,253,200,57,2334,2,1,30
211,3090,293,14,42,3,3731,180,236,196,1127,1,3,22
212,3147,74,7,391,38,4260,229,227,132,1967,2,1,29
213,2947,68,39,216,140,1351,227,135,4,1053,2,3,33
214,3071,183,15,170,18,2012,223,249,154,30,1,3,31
215,3047,293,10,641,56,5839,191,238,187,5208,1,1,29
216,2939,150,18,277,0,5766,240,237,120,3545,2,1,30
217,2936,221,5,277,90,2032,213,245,169,1127,2,3,34
218,2340,133,8,67,13,1296,233,236,135,201,3,4,6
219,2542,148,11,150,-10,1198,234,239,135,1436,3,3,4
220,3122,301,26,108,9,2136,140,219,214,3180,1,1,29
221,3038,351,10,60,13,1828,202,223,159,1370,1,3,21
222,2834,26,13,457,58,2362,213,211,131,2249,2,1,23
223,3307,71,13,67,12,2952,234,214,110,2374,1,1,39
224,3378,105,11,255,0,2424,240,226,115,2554,7,1,38
225,2298,327,16,256,88,849,179,220,180,789,3,4,6
226,2142,7,17,255,21,458,198,205,142,765,3,4,10
227,2918,44,13,390,67,2876,222,211,121,2516,2,1,12
228,3031,56,3,0,0,3586,222,232,146,272,1,1,23
229,2588,40,19,150,45,1602,218,196,106,1381,2,3,10
230,3037,10,25,162,52,2460,185,182,126,1134,1,3,22
231,2930,293,6,150,23,3552,203,239,175,4814,2,1,12
232,2683,9,11,30,3,2301,207,217,146,4646,2,1,20
233,3081,189,11,67,5,979,220,249,161,1630,2,1,29
234,2970,39,13,649,236,3258,220,212,124,1398,2,1,12
235,3317,135,15,182,21,3994,242,232,115,2367,7,1,38
236,3302,168,17,474,23,4079,231,244,139,2040,1,3,38
237,3064,86,18,67,20,4260,243,206,85,2796,1,1,29
238,2602,22,5,0,0,1276,217,229,149,2448,2,1,16
239,2956,46,24,335,132,4457,219,182,85,964,2,1,29
240,2403,153,8,579,60,666,231,241,142,967,3,4,3
241,3207,230,16,433,0,702,194,253,194,2101,2,3,33
242,3433,355,10,571,94,1585,203,222,157,1392,7,3,38
243,3132,351,6,85,0,1482,210,230,159,1154,1,2,23
244,3193,206,7,182,26,1006,216,247,166,127,1,3,23
245,2545,73,7,85,6,2638,229,226,131,2489,2,3,20
246,2722,79,8,175,49,180,231,225,126,1976,5,1,29
247,2712,38,8,228,36,1342,220,223,138,3055,2,1,30
248,3050,237,16,120,13,2249,191,252,196,446,2,3,32
249,2900,180,3,300,-2,4725,220,241,156,4880,2,1,8
250,3027,12,21,488,-32,1113,193,191,129,2028,2,3,33
251,2806,186,23,60,8,3912,217,249,154,1290,2,1,30
252,3118,327,5,553,-67,997,208,234,165,1110,2,2,23
253,2957,106,23,895,162,2716,252,204,67,1608,2,3,10
254,2688,217,24,270,54,3178,187,254,193,1616,3,3,4
255,2364,26,17,335,220,1008,210,200,122,1328,3,4,10
256,3394,165,7,805,188,1243,227,243,149,1980,1,3,38
257,3000,331,21,467,226,760,167,209,180,1321,1,3,33
258,3248,174,17,402,77,3873,228,246,144,735,1,3,33
259,2962,349,12,277,26,4298,198,220,161,5013,2,1,12
260,2629,77,9,467,14,3038,232,224,125,2914,1,3,11
261,2914,54,10,120,1,3466,226,218,124,4147,2,1,12
262,3204,63,10,774,183,2561,229,221,124,3132,1,3,31
263,2948,114,3,60,7,1855,224,236,147,469,2,3,32
264,3123,52,13,726,253,2147,226,211,115,2737,1,3,24
265,3320,348,15,1321,303,1936,192,215,161,1888,7,3,38
266,2960,104,20,108,29,3792,249,210,80,1142,2,1,29
267,3285,89,16,134,15,3415,242,213,97,1326,1,3,22
268,2608,139,9,319,-13,1756,234,237,134,1958,3,3,2
269,3265,14,9,30,3,4014,212,222,147,1804,1,1,38
270,3069,92,16,485,-14,5071,243,214,96,1448,1,1,29
271,2390,271,24,426,181,350,149,239,225,794,3,4,10
272,3144,85,5,0,0,2477,228,231,137,2832,1,1,23
273,3104,295,17,180,44,1410,169,233,203,2449,2,3,32
274,3004,291,6,685,95,5975,203,239,175,3436,2,1,29
275,3099,81,6,150,2,3896,228,230,136,1765,2,1,29
276,2789,98,7,42,0,1635,232,230,130,1618,2,1,23
277,2784,24,14,0,0,4360,212,209,132,5110,2,1,30
278,3260,74,11,277,31,5573,233,219,116,1072,2,1,29
279,3095,173,10,285,2,3613,226,245,150,967,1,1,29
280,2749,22,11,297,58,2866,213,216,138,1253,5,3,32
281,2593,184,14,90,16,1585,223,249,156,816,3,3,3
282,3262,288,26,960,175,3655,138,227,224,2312,1,3,27
283,2909,325,25,150,72,5504,151,205,190,4817,2,1,24
284,2959,84,13,150,33,4981,238,218,108,6281,2,1,12
285,2972,11,12,258,44,3019,207,215,144,942,2,3,33
286,3034,72,9,150,14,1380,231,222,123,1099,2,3,23
287,3096,110,16,234,-13,1154,246,220,97,1032,1,1,29
288,2211,7,33,108,76,1200,162,157,117,1478,3,4,10
289,3350,184,12,313,71,3794,222,248,157,1758,1,3,38
290,3046,332,21,85,9,902,168,209,178,2024,1,1,29
291,2916,4,12,467,36,4444,204,218,150,5531,1,1,29
292,3022,23,14,85,7,2985,212,210,133,649,1,1,29
293,3277,179,10,451,101,3420,224,246,154,2850,1,1,23
294,3245,173,13,190,13,4540,228,246,148,2520,1,3,33
295,3154,294,8,256,0,3502,199,238,179,1282,1,1,29
296,3137,51,15,67,5,1384,226,206,109,2526,1,3,22
297,2886,105,11,60,0,4272,240,226,115,3215,1,1,29
298,3277,29,14,108,7,3353,214,208,127,2755,7,3,39
299,3512,40,18,845,297,2514,219,198,109,1734,1,1,40
300,2823,103,9,153,21,990,235,229,125,2063,2,1,29
301,2340,99,21,404,159,1116,249,206,75,1262,4,4,6
302,3115,86,28,390,182,1849,247,180,43,2960,1,3,33
303,3262,183,20,616,147,6067,221,249,152,3031,2,1,30
304,2660,74,7,30,0,1615,229,227,132,5365,2,1,29
305,3050,11,15,42,6,3694,203,207,139,2746,1,1,23
306,3018,243,13,741,122,5860,194,250,193,6494,2,1,12
307,2719,254,31,120,73,1041,135,242,234,1448,2,3,13
308,3006,344,16,170,21,2529,187,214,165,2139,1,3,24
309,2514,119,18,175,64,644,248,222,95,323,2,4,6
310,2961,325,8,0,0,3674,201,232,170,2516,1,1,23
311,3305,181,17,272,46,3191,224,248,151,1316,1,3,32
312,2973,52,6,0,0,4876,223,227,140,1195,2,1,20
313,2480,174,27,212,76,1187,223,241,132,1182,3,3,4
314,2999,200,12,0,0,2589,215,250,168,1756,1,3,20
315,2739,191,21,313,3,1116,214,251,160,726,2,3,3
316,2942,266,22,391,121,1113,158,243,221,242,2,3,13
317,2567,81,9,120,13,760,233,224,123,720,2,1,23
318,3284,283,16,531,101,659,173,239,205,323,1,2,33
319,3293,28,24,216,73,2117,203,180,102,1226,7,3,39
320,2442,154,26,175,63,201,240,230,102,918,3,3,4
321,3242,301,12,268,18,4260,186,235,189,558,1,3,32
322,3048,99,13,256,41,3072,241,221,108,1939,2,3,31
323,2894,333,2,120,3,1784,214,236,160,1473,5,3,32
324,2743,55,6,134,14,2789,224,227,139,4986,2,1,12
325,3090,82,7,30,-2,7082,230,228,132,2537,2,1,20
326,3018,243,6,860,99,5974,207,245,176,3373,2,1,20
327,2536,119,11,242,29,295,239,230,120,1148,2,1,12
328,3231,55,9,335,48,5704,226,221,128,2160,1,1,29
329,2598,18,18,212,25,1182,202,198,128,2580,2,3,11
330,3222,53,21,571,162,1783,227,191,89,2037,1,3,33
331,2995,63,13,124,23,5110,231,214,113,4098,2,1,29
332,2732,86,32,182,101,2790,246,169,27,6510,2,1,30
333,2576,32,12,330,55,150,217,214,130,751,2,4,6
334,3204,45,2,457,5,2067,219,235,152,997,1,3,31
335,3189,266,10,150,-26,3556,194,245,189,1661,1,1,22
336,3018,354,17,541,43,4133,191,209,155,2263,2,1,29
337,2902,130,21,247,101,256,249,223,92,1142,2,1,30
338,3317,306,19,90,35,2372,164,225,200,2789,1,1,29
339,2992,297,5,90,20,752,205,238,172,1298,1,2,23
340,2706,41,5,182,7,85,221,228,143,768,5,3,11
341,3017,210,16,124,-10,2047,205,253,179,313,2,3,32
342,2721,116,26,67,29,1224,253,206,63,2160,2,1,29
343,2338,330,15,127,43,1224,182,220,177,371,6,4,5
344,3075,315,6,283,44,3240,205,235,170,1233,2,3,32
345,2579,73,16,127,24,850,237,207,96,1239,2,3,11
346,2787,313,20,95,32,3800,162,220,196,1062,2,1,29
347,2974,8,12,285,34,1484,206,216,147,721,1,3,32
348,3306,122,15,481,110,323,244,227,109,430,2,2,32
349,3126,120,10,212,18,5477,238,232,124,911,2,1,29
350,2902,148,14,272,64,866,238,238,126,2121,2,3,33
351,2863,221,19,255,119,2863,193,254,192,1182,2,3,4
352,2745,57,10,134,32,631,227,220,126,2264,2,3,11
353,2188,311,31,42,25,698,121,200,211,1572,3,4,10
354,3404,332,19,108,21,1677,173,213,177,1922,7,2,39
355,3209,136,14,272,60,1323,241,234,119,1765,1,2,23
356,3038,304,17,108,13,2418,170,229,198,3048,1,1,22
357,3208,70,15,85,3,2998,235,209,101,4939,1,1,29
358,2975,239,10,450,66,5883,202,249,184,3042,2,1,29
359,3074,98,16,134,14,2230,244,216,97,1291,1,1,30
360,2960,312,41,247,117,1645,82,174,214,1104,1,3,33
361,3002,72,5,256,25,1382,226,230,138,1622,1,3,31
362,2601,11,16,390,74,626,202,206,139,573,2,3,4
363,2353,156,29,319,10,446,238,228,98,722,3,4,3
364,3119,264,6,67,1,5584,204,243,178,2770,2,1,19
365,3178,144,6,30,-1,2816,230,239,143,2559,7,1,29
366,3179,41,10,466,88,3004,221,218,131,1719,1,3,31
367,3206,216,18,0,0,858,199,254,186,2102,1,2,23
368,2481,221,33,120,55,1879,162,249,205,242,3,3,4
369,3047,348,10,297,6,4025,201,223,161,3610,1,1,29
370,2991,58,16,433,24,1033,230,203,101,2180,2,1,29
371,2786,60,9,437,2,1776,227,221,127,983,2,1,12
372,3040,233,2,240,18,2188,215,241,163,1237,2,1,29
373,2868,344,15,0,0,5502,189,216,164,850,2,1,20
374,3090,307,18,582,179,5286,166,226,199,800,2,1,29
375,2933,36,11,30,3,1936,219,216,131,2389,1,3,32
376,2995,312,11,150,5,319,189,232,183,242,1,2,22
377,2900,82,18,433,129,598,241,207,89,1366,2,1,29
378,3137,315,22,443,128,750,157,216,197,1842,1,3,24
379,3015,88,14,218,46,2128,241,215,101,2402,1,3,32
380,2869,41,5,42,0,1397,220,229,145,2187,2,1,29
381,2612,45,7,85,-1,759,222,224,137,1673,2,1,29
382,2886,152,4,424,66,2287,224,239,151,2687,2,1,29
383,2975,129,10,127,10,4924,237,234,127,5792,2,1,12
384,2873,327,18,127,31,3264,174,217,182,2471,2,1,29
385,3254,0,8,579,63,3639,209,226,155,2467,1,1,40
386,3253,246,13,537,118,457,193,249,194,2349,2,3,33
387,2704,63,23,85,47,95,233,186,73,999,5,1,30
388,2985,94,18,547,180,547,246,209,85,1541,2,1,29
389,2983,40,13,30,0,4860,221,212,124,3245,2,1,29
390,2910,105,13,258,46,3210,242,223,109,2429,2,1,12
391,3172,192,19,509,108,1950,215,251,163,953,2,1,29
392,2968,247,16,216,47,5857,185,250,202,1369,2,1,29
393,2739,56,19,150,45,1376,229,197,95,1008,2,3,33
394,2990,155,10,552,71,3565,231,241,141,1074,2,1,12
395,3173,311,15,190,30,4683,179,228,189,1124,1,1,22
396,2665,111,16,153,62,1591,246,221,98,1221,3,3,11
397,3062,280,11,270,-6,2039,191,241,190,2259,2,3,32
398,2854,328,13,309,5,3000,188,224,175,2813,2,1,12
399,2771,34,20,153,113,162,213,193,108,1282,5,1,30
400,3167,81,7,417,86,1385,230,227,129,3435,1,3,33
401,3055,85,13,331,22,4582,238,217,108,789,2,1,30
402,2801,340,10,201,50,1798,198,225,166,3139,1,1,30
403,3188,45,15,124,13,3349,223,206,114,4698,1,1,29
404,2901,34,13,228,12,1521,218,212,128,2203,2,3,11
405,3393,349,11,853,122,1301,199,221,160,1716,7,3,38
406,3280,340,13,180,24,5568,192,221,167,664,1,1,38
407,2375,276,26,134,41,212,142,235,228,218,6,3,10
408,2640,0,8,0,0,859,208,225,154,1587,2,1,20
409,2784,168,21,85,19,2667,231,243,132,2366,2,1,30
410,2729,22,17,309,42,3401,207,201,126,2979,1,3,10
411,2935,140,15,808,144,2448,241,234,119,1543,2,3,13
412,3216,54,15,30,-4,4025,228,207,110,1772,1,1,38
413,3070,123,5,0,0,1561,228,236,142,437,1,1,23
414,3112,315,10,108,10,4163,193,232,178,1275,1,1,29
415,3195,12,10,335,23,4469,210,219,146,1591,1,1,29
416,3191,214,7,537,-15,591,213,247,170,1981,2,3,33
417,2691,193,24,390,-44,1082,209,251,163,865,2,3,3
418,2712,15,47,466,89,845,133,99,0,2206,2,3,13
419,3070,68,20,108,38,1034,236,197,84,1385,2,3,24
420,2782,311,16,108,31,2255,176,227,191,832,2,3,31
421,2650,333,6,268,25,1084,205,232,165,1458,2,1,12
422,3257,187,10,418,27,4470,222,248,159,934,2,1,29
423,2983,91,16,391,95,2343,243,214,97,1683,2,3,32
424,3090,55,24,234,46,4502,226,180,74,2823,1,1,29
425,2482,116,22,335,74,330,251,213,77,1167,3,3,2
426,3028,16,16,420,169,1289,204,204,133,3481,1,3,24
427,2633,66,17,421,63,797,234,205,97,2502,2,1,12
428,2804,130,8,218,27,968,234,236,133,849,3,3,2
429,3231,198,12,518,40,5978,217,250,166,3129,2,1,29
430,2762,245,15,0,0,1747,189,251,198,1140,5,3,23
431,3061,236,16,339,49,5729,191,252,196,1894,2,1,30
432,2972,76,13,242,86,5814,236,216,109,4585,2,1,29
433,2952,69,17,60,14,2018,236,204,94,2689,2,3,32
434,3501,94,19,931,295,2596,247,207,81,1080,1,1,40
435,2548,79,4,212,27,0,224,233,144,641,2,4,6
436,2705,124,14,67,8,2580,242,229,114,4801,2,1,12
437,2934,42,11,210,39,2058,222,216,128,2985,2,3,33
438,2867,61,15,268,30,421,231,207,105,1712,2,1,29
439,2958,4,4,0,0,5324,215,232,155,2389,2,1,23
440,2025,64,24,0,0,306,234,185,71,750,3,4,1
441,3023,82,24,170,39,1558,245,190,61,1371,1,3,33
442,3009,62,19,247,36,4745,232,196,89,1781,1,1,29
443,3007,36,28,67,5,5047,206,168,82,2867,1,1,29
444,3355,133,11,30,4,4375,238,235,125,4042,7,3,23
445,3235,270,16,240,29,319,176,244,206,782,1,2,24
446,2868,75,11,242,20,2831,234,218,115,2711,2,1,12
447,2691,44,15,525,-50,1266,222,207,116,1383,2,1,23
